FileName,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPS_Lat_Deg,GPS_Lat_Min,GPS_Lat_Sec,latitude,GPS_Lon_Deg,GPS_Lon_Min,GPS_Lon_Sec,longitude
20190322_164326_IMG_JW.jpg,34.8 m Below Sea Level,Below Sea Level,,2019:03:22,2019:03:22 23:43:21Z,,,14.472,,,,"33 deg 32' 27.29"" N",North,"117 deg 47' 2.22"" W",West,"33 deg 32' 27.29"" N, 117 deg 47' 2.22"" W",33,32,27.29,33.54091389,117,47,2.22,-116.21605
20190322_164633_SW.JPG,0.7 m Above Sea Level,Above Sea Level,,2019:03:22,2019:03:22 23:46:33Z,102.8131942,True North,,12.00181242 m,102.8131942,True North,"33 deg 32' 26.91"" N",North,"117 deg 47' 1.56"" W",West,"33 deg 32' 26.91"" N, 117 deg 47' 1.56"" W",33,32,26.91,33.54080833,117,47,1.56,-116.2162333
20190322_164633_SW.MOV,0.792 m,Above Sea Level,"33 deg 32' 26.88"" N, 117 deg 47' 1.68"" W, 0.792 m Above Sea Level",,,,,,,,,"33 deg 32' 26.88"" N",,"117 deg 47' 1.68"" W",,"33 deg 32' 26.88"" N, 117 deg 47' 1.68"" W",33,32,26.88,33.5408,117,47,1.68,-116.2162
20190322_181253_VID_JW.mp4,,,"33 deg 32' 31.20"" N, 117 deg 46' 54.84"" W",,,,,,,,,"33 deg 32' 31.20"" N",,"117 deg 46' 54.84"" W",,"33 deg 32' 31.20"" N, 117 deg 46' 54.84"" W",33,32,31.2,33.542,117,46,54.84,-116.2181
20190323_100609_IMG_JW.jpg,176.7 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 17:06:08Z,,,6.951,,,,"33 deg 36' 10.40"" N",North,"117 deg 49' 37.52"" W",West,"33 deg 36' 10.40"" N, 117 deg 49' 37.52"" W",33,36,10.4,33.60288889,117,49,37.52,-116.1729111
20190323_100617_MVIMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 17:06:08Z,,,17.623,,,,"33 deg 36' 10.82"" N",North,"117 deg 49' 37.50"" W",West,"33 deg 36' 10.82"" N, 117 deg 49' 37.50"" W",33,36,10.82,33.60300556,117,49,37.5,-116.1729167
20190323_100626_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 17:06:08Z,,,17.623,,,,"33 deg 36' 10.82"" N",North,"117 deg 49' 37.50"" W",West,"33 deg 36' 10.82"" N, 117 deg 49' 37.50"" W",33,36,10.82,33.60300556,117,49,37.5,-116.1729167
20190323_100652_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 17:06:08Z,,,17.623,,,,"33 deg 36' 10.82"" N",North,"117 deg 49' 37.50"" W",West,"33 deg 36' 10.82"" N, 117 deg 49' 37.50"" W",33,36,10.82,33.60300556,117,49,37.5,-116.1729167
20190323_120722_VID_JW.mp4,,,"33 deg 36' 10.80"" N, 117 deg 49' 37.20"" W",,,,,,,,,"33 deg 36' 10.80"" N",,"117 deg 49' 37.20"" W",,"33 deg 36' 10.80"" N, 117 deg 49' 37.20"" W",33,36,10.8,33.603,117,49,37.2,-116.173
20190323_120927_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 19:09:16Z,,,16.52,,,,"33 deg 36' 10.87"" N",North,"117 deg 49' 37.40"" W",West,"33 deg 36' 10.87"" N, 117 deg 49' 37.40"" W",33,36,10.87,33.60301944,117,49,37.4,-116.1729444
20190323_120927_SW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 19:09:16Z,,,16.52,,,,"33 deg 36' 10.87"" N",North,"117 deg 49' 37.40"" W",West,"33 deg 36' 10.87"" N, 117 deg 49' 37.40"" W",33,36,10.87,33.60301944,117,49,37.4,-116.1729444
20190323_134019_1_SW.JPG,67.8 m Above Sea Level,Above Sea Level,,,,,,,11.67558558 m,,,"33 deg 3' 14.69"" N",North,"117 deg 15' 34.03"" W",West,"33 deg 3' 14.69"" N, 117 deg 15' 34.03"" W",33,3,14.69,33.05408056,117,15,34.03,-116.7405472
20190323_134019_SW.JPG,67.8 m Above Sea Level,Above Sea Level,,,,,,,11.67558558 m,,,"33 deg 3' 14.69"" N",North,"117 deg 15' 34.03"" W",West,"33 deg 3' 14.69"" N, 117 deg 15' 34.03"" W",33,3,14.69,33.05408056,117,15,34.03,-116.7405472
20190323_144331_IMG_JW.jpg,144.5 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 21:43:32Z,,,39.664,,,,"33 deg 36' 13.16"" N",North,"117 deg 49' 37.89"" W",West,"33 deg 36' 13.16"" N, 117 deg 49' 37.89"" W",33,36,13.16,33.60365556,117,49,37.89,-116.1728083
20190323_150253_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:23,2019:03:23 22:02:48Z,,,72.9,,,,"33 deg 36' 15.97"" N",North,"117 deg 49' 36.15"" W",West,"33 deg 36' 15.97"" N, 117 deg 49' 36.15"" W",33,36,15.97,33.60443611,117,49,36.15,-116.1732917
20190323_150301_IMG_JW.jpg,207.4 m Above Sea Level,Above Sea Level,,2019:03:23,2019:03:23 22:02:55Z,,,28.604,,,,"33 deg 36' 16.61"" N",North,"117 deg 49' 33.46"" W",West,"33 deg 36' 16.61"" N, 117 deg 49' 33.46"" W",33,36,16.61,33.60461389,117,49,33.46,-116.1740389
